,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
0,A1,CHEMBL134,Clc1cccc(Cl)c1NC1=NCCN1,Ki,=,510.0,nM,CHEMBL2094251,AGONIST,CLONIDINE,CHEMBL1129794,-0.50034297,-4.4669156
1,A1,CHEMBL134,Clc1cccc(Cl)c1NC1=NCCN1,EC50,=,290.0,nM,CHEMBL2094251,AGONIST,CLONIDINE,CHEMBL1129794,-0.514853,-4.4626994
2,A1,CHEMBL298936,Cc1c(NC2=NCCN2)ccc2c1NCCO2,Ki,=,470.0,nM,CHEMBL2094251,,,CHEMBL1129794,-1.6096982,-3.5826101
3,A1,CHEMBL298936,Cc1c(NC2=NCCN2)ccc2c1NCCO2,EC50,=,480.0,nM,CHEMBL2094251,,,CHEMBL1129794,-1.6289091,-3.5226471
4,A1,CHEMBL49137,Cc1c(NC2=NCCN2)ccc2nccnc12,Ki,=,1400.0,nM,CHEMBL2094251,,,CHEMBL1129794,15.339077,13.949587
5,A1,CHEMBL49137,Cc1c(NC2=NCCN2)ccc2nccnc12,EC50,=,4700.0,nM,CHEMBL2094251,,,CHEMBL1129794,15.417154,13.861236
6,A1,CHEMBL49284,Cc1c(NC2=NCCN2)ccc2c1NCCN2,Ki,=,8700.0,nM,CHEMBL2094251,,,CHEMBL1129794,-2.7953885,8.820285
7,A1,CHEMBL49284,Cc1c(NC2=NCCN2)ccc2c1NCCN2,EC50,=,790.0,nM,CHEMBL2094251,,,CHEMBL1129794,-2.847044,8.754908
8,A1,CHEMBL647,Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,Ki,=,180.0,nM,CHEMBL2094251,,,CHEMBL1129794,0.284044,-2.1342459
9,A1,CHEMBL647,Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,EC50,=,180.0,nM,CHEMBL2094251,,,CHEMBL1129794,0.20295636,-2.2974782
10,A1,CHEMBL113310,CP(=O)(O)C[C@@H](O)CN,Inhibition,=,0.0,%,CHEMBL2094251,,,CHEMBL1128747,2.9423556,-1.9572432
