receptor,molecule_chembl_id,canonical_smiles,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2,relation,IC50_value_nM,MolWt,MolLogP,NumHAcceptors,NumHDonors,NumRotatableBonds,IC50_value_nM_norm,MolWt_norm,MolLogP_norm,NumHAcceptors_norm,NumHDonors_norm,NumRotatableBonds_norm
B2,CHEMBL4285281,COc1cc2c3c(c1OC)-c1ccccc1[C@@H](O)[C@@H]3NCC2,CHEMBL210,,,CHEMBL4257493,6.326097,-4.189711,=,4.1499999999999995,297.35,2.6,4.0,2.0,2.0,0.0003059712909376527,0.38901196278245453,0.6114130434782609,0.5,0.0,0.0
B2,CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL210,,,CHEMBL1909046,9.658982,0.63223827,=,16.0,328.41,2.14,4.0,4.0,8.0,0.0011903029488916003,0.4948706588050852,0.4864130434782609,0.5,0.6666666666666666,0.8571428571428571
B2,CHEMBL4290197,COc1cc2c3c(c1OC)-c1ccccc1[C@@H](O)[C@]3(C)NCC2,CHEMBL210,,,CHEMBL4257493,6.268861,-4.136572,=,20.0,311.38,2.78,4.0,2.0,2.0,0.0014888115254161397,0.4368290105995024,0.6603260869565216,0.5,0.0,0.0
B2,CHEMBL49080,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,CHEMBL210,AGONIST,CLENBUTEROL,CHEMBL1909046,4.1169157,-6.4817715,=,670.5,277.2,3.0,3.0,3.0,3.0,0.05003376878271934,0.3203367301727956,0.7201086956521738,0.25,0.33333333333333337,0.14285714285714285
B2,CHEMBL1160723,CC(C)NC[C@H](O)c1ccc(O)c(O)c1,CHEMBL210,,,CHEMBL3886528,-1.4465762,29.243307,=,0.05,211.26,1.13,4.0,4.0,4.0,0.0,0.09560001363280046,0.21195652173913043,0.5,0.6666666666666666,0.2857142857142857
B2,CHEMBL388570,C[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,21.413582,5.2375193,=,0.14,303.36,2.06,5.0,5.0,6.0,6.716442971802134e-06,0.4094952455608193,0.4646739130434782,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL228992,COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1,CHEMBL210,,,CHEMBL3886528,-18.169127,5.0176344,=,0.17,317.39,2.36,5.0,4.0,7.0,8.955257295736178e-06,0.45731229337786716,0.546195652173913,0.75,0.6666666666666666,0.7142857142857143
B2,CHEMBL4279531,COc1cc2c3c(c1OC)-c1ccccc1[C@@H](O)[C@H]3NCC2,CHEMBL210,,,CHEMBL4257493,6.3157773,-4.1817384,=,210.0,297.35,2.6,4.0,2.0,2.0,0.015667968910331755,0.38901196278245453,0.6114130434782609,0.5,0.0,0.0
B2,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,CHEMBL210,AGONIST,ISOPROTERENOL,CHEMBL1909046,-1.4508221,29.415455,=,246.0,211.26,1.13,4.0,4.0,4.0,0.01835454609905261,0.09560001363280046,0.21195652173913043,0.5,0.6666666666666666,0.2857142857142857
B2,CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,CHEMBL210,AGONIST,EPINEPHRINE,CHEMBL1909046,11.666294,0.27303824,=,284.0,183.21,0.35,4.0,4.0,3.0,0.021190377576035733,0.0,0.0,0.5,0.6666666666666666,0.14285714285714285
B2,CHEMBL509336,CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1,CHEMBL210,,,CHEMBL1152790,-4.086552,11.5065365,=,330.0,301.39,2.74,4.0,4.0,7.0,0.024623226206067935,0.4027810913056814,0.6494565217391304,0.5,0.6666666666666666,0.7142857142857143
B2,CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL210,,,CHEMBL1909046,-4.476137,11.882631,=,433.90000000000003,272.37,1.09,4.0,3.0,6.0,0.03237698648129284,0.30387512354725466,0.20108695652173914,0.5,0.33333333333333337,0.5714285714285714
B2,CHEMBL462313,CC(C)N[C@@H]1CCn2c(=O)[nH]c3cccc(c32)[C@H]1O,CHEMBL210,,,CHEMBL1152790,-8.453914,9.328114,=,620.0,261.32,1.13,3.0,3.0,2.0,0.04626509800409703,0.26621451211615144,0.21195652173913043,0.25,0.33333333333333337,0.0
B2,CHEMBL714,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CHEMBL210,AGONIST,ALBUTEROL,CHEMBL1909046,15.2352,-2.631845,=,895.1,239.32,1.31,4.0,4.0,4.0,0.06679502535457221,0.1912341092668961,0.2608695652173913,0.5,0.6666666666666666,0.2857142857142857
